Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-25,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2019-09-26,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2019-09-27,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2019-09-30,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2019-10-01,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2019-10-03,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0.0,0.0,0.0
2019-10-04,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,20.0,0.0,0.0
2019-10-07,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,200.0,0.0,0.0
2019-10-09,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2019-10-10,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2019-10-11,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2019-10-14,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0.0,0.0,0.0
2019-10-15,2.5999999046325684,2.700000047683716,2.5999999046325684,2.700000047683716,810.0,0.0,0.0
2019-10-16,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,8397.0,0.0,0.0
2019-10-17,2.9000000953674316,2.9000000953674316,2.9000000953674316,2.9000000953674316,509.0,0.0,0.0
2019-10-18,3.0,3.0,3.0,3.0,164.0,0.0,0.0
2019-10-22,3.1500000953674316,3.1500000953674316,3.0,3.0999999046325684,4035.0,0.0,0.0
2019-10-23,3.0999999046325684,3.0999999046325684,2.950000047683716,3.0,2789.0,0.0,0.0
2019-10-24,3.0,3.1500000953674316,2.8499999046325684,2.8499999046325684,12358.0,0.0,0.0
2019-10-25,2.8499999046325684,2.950000047683716,2.8499999046325684,2.950000047683716,1298.0,0.0,0.0
2019-10-27,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,1.0,0.0,0.0
2019-10-29,3.200000047683716,3.200000047683716,3.049999952316284,3.200000047683716,1066.0,0.0,0.0
2019-10-30,3.3499999046325684,3.3499999046325684,3.299999952316284,3.3499999046325684,8447.0,0.0,0.0
2019-10-31,3.5,3.5,3.5,3.5,1693.0,0.0,0.0
2019-11-01,3.6500000953674316,3.6500000953674316,3.6500000953674316,3.6500000953674316,2350.0,0.0,0.0
2019-11-04,3.75,3.799999952316284,3.75,3.799999952316284,7910.0,0.0,0.0
2019-11-05,3.950000047683716,3.950000047683716,3.9000000953674316,3.950000047683716,6397.0,0.0,0.0
